ParkName,State,partySize,BookingType,RateType,Equipment
Dollar Lake,NS ,2,Senior,CampsitePermit,LT20ft
Amherst Shore,NS ,2,Full,CampsitePermit,T
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft
Salsman,NS ,2,Full,CampsitePermit,LT40ft
Five Islands,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,5,Full,CampsitePermit,ST
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft
Laurie,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,ST
Laurie,NS ,1,Full,CampsitePermit,ST
Smileys,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,6,Full,CampsitePermit,T
Salsman,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,1,Full,CampsitePermit,ST
Thomas Raddall,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,ST
Graves Island,NS ,4,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,5,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,6,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,5,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Whycocomagh,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Porters Lake,NS ,3,Full,CampsitePermit,ST
Graves Island,NS ,3,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,3,Full,CampsitePermit,T
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,6,Full,CampsitePermit,T
Graves Island,NS ,5,Full,CampsitePermit,LT30ft
Battery,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,LT30ft
Graves Island,NS ,3,Full,CampsitePermit,ST
Laurie,NS ,6,Full,CampsitePermit,T
Graves Island,NS ,1,Full,CampsitePermit,ST
Dollar Lake,NS ,6,Full,CampsitePermit,T
Graves Island,NS ,2,Full,CampsitePermit,ST
Salsman,NS ,3,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Five Islands,NS ,2,Senior,CampsitePermit,LT20ft
Rissers Beach,NS ,6,Full,CampsitePermit,T
Mira River,NS ,4,Full,CampsitePermit,LT30ft
The Islands,NS ,4,Full,CampsitePermit,ST
Five Islands,NS ,1,Full,CampsitePermit,ST
Porters Lake,NS ,2,Senior,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft
The Islands,NS ,4,Full,CampsitePermit,LT20ft
Graves Island,NS ,3,Full,CampsitePermit,ST
Valleyview,NS ,3,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,2,Veteran,CampsitePermit,LT30ft
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT20ft
Mira River,NS ,3,Full,CampsitePermit,LT30ft
Thomas Raddall,NS ,6,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft
Smileys,NS ,4,Full,CampsitePermit,LT30ft
Salsman,NS ,2,Senior,CampsitePermit,LT30ft
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,5,Full,CampsitePermit,LT40ft
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Blomidon,NS ,2,Full,CampsitePermit,LT30ft
Laurie,NS ,4,Full,CampsitePermit,T
Thomas Raddall,NS ,2,Senior,CampsitePermit,LT30ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT40ft
Porters Lake,NS ,2,Veteran,CampsitePermit,LT30ft
Five Islands,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,4,Full,CampsitePermit,LT30ft
Valleyview,NS ,2,Senior,CampsitePermit,ST
Smileys,NS ,2,Senior,CampsitePermit,LT30ft
Smileys,NS ,4,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST
Five Islands,NS ,3,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,T
Graves Island,NS ,2,Senior,CampsitePermit,ST
Mira River,NS ,3,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,LT40ft
Battery,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,6,Veteran,CampsitePermit,LT30ft
Blomidon,NS ,2,Full,CampsitePermit,T
Five Islands,NS ,2,Full,CampsitePermit,ST
Battery,NS ,3,Full,CampsitePermit,ST
Laurie,NS ,3,Full,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft
Graves Island,NS ,4,Full,CampsitePermit,ST
